房源标题,详情页链接,描述,标签,初始价,成交价
Hi心房 沐年之夏/INS风温馨/私享影院房/投影设备/厨房/近地铁/近东莞火车站/电梯房/情侣闺蜜,https://m.tujia.com/detail/56170756.htm,"5星卫生分 
 近2年装修 
 巨幕投影 
 全天热水 
 可开发票 
 免费停车 
 前台接待 
 吹风机",1居1床2人 · 整套22㎡ ·,¥178,¥104¥178
东莞企石镇住宿公寓【豪华特价大床房】可加客可洗衣服·延迟退房·豪华装修·隔音隐私玻璃·电梯·近商业街,https://m.tujia.com/detail/73805281.htm,"优选民宿
 免费取消 
 暑期热销 
 可带宠物 
 5星卫生分 
 近2年装修 
 有洗衣机 
 全天热水",1居1床2-3人 · 整套40㎡ ·,¥130,¥78¥130
虎门滨海湾/可做饭/免费停车/管家式服务/雅乐轩居家公寓,https://m.tujia.com/detail/64896031.htm,"优选民宿
 免费取消 
 私家花园 
 房东实拍 
 可带宠物 
 免费瓶装水 
 干湿分离 
 5星卫生分",1居1床2-3人 · 整套30㎡ ·,¥118,¥94¥118
奶油风Ⅰ高清投影Ⅰ温馨1室l月租年租l近百花l近翔龙天地l近常平站Ⅰ近常平南I近木伦市场Ⅰ近隐贤山庄,https://m.tujia.com/detail/77364901.htm,"优选民宿
 免费取消 
 5星卫生分 
 近2年装修 
 团建会议 
 健身房 
 有投影 
 有洗衣机",1居1床2人 · 整套28㎡ ·,¥198,¥99¥198
新装修/豪华大床房/可住2人·电视/便利店·1卧[中大创客坊/华阳湖湿地公园],https://m.tujia.com/detail/75748132.htm,"优选民宿
 免费取消 
 免费瓶装水 
 近2年装修 
 全天热水 
 智能门锁 
 冷暖空调 
 有电梯",1居1床2人 · 整套40㎡ · 华阳湖度假区,¥147,¥111¥147
青创-印象公馆特惠大床房（独自洗衣机+高清投影）,https://m.tujia.com/detail/73707307.htm,"新开业 
 免费停车 
 宠物友好 
 畅享影音 
 行政酒廊 
 投影仪 
 免费洗衣服务 
 管家服务",1居1床2人 · 整套28㎡ · 可园,¥222,¥108¥222
金悦名宿 大床房,https://m.tujia.com/detail/54367600.htm,"全天热水 
 冷暖空调 
 超市/菜场 
 立即确认",1居1床2人 · 整套60㎡ ·,¥168,¥99¥168
【幸运星公寓】B3精致大床房/时尚装修/独立洗衣机/专用晾晒区/冷暖空调,https://m.tujia.com/detail/82963024.htm,"优选民宿
 免费取消 
 房东实拍 
 免费瓶装水 
 近2年装修 
 有洗衣机 
 智能马桶 
 全天热水",1居1床2人 · 整套23㎡ · 松山湖度假区,¥178,¥88¥178
【可月租】行政大床房/免费停车/洗衣机/正崴产业园/大朗镇站/东莞开放大学东坑分校/华仁商业步行街,https://m.tujia.com/detail/56223778.htm,"免费取消 
 免费瓶装水 
 5星卫生分 
 有洗衣机 
 全天热水 
 免费停车 
 充电桩 
 管家服务",1居1床2人 · 整套30㎡ ·,¥204,¥95¥204
东莞企石镇客房公寓【浪漫情侣吊床房】·恋爱特色·可加客洗衣服·延迟退房·豪华装修·隔音隐私玻璃·租房,https://m.tujia.com/detail/73826329.htm,"免费取消 
 可带宠物 
 5星卫生分 
 近2年装修 
 有洗衣机 
 全天热水 
 可开发票 
 付费停车位",1居1床2-3人 · 整套40㎡ ·,¥82,¥74¥82
【时尚特价大床房】东莞万江住宿公寓·免费停车场·自助洗衣房·领包住·华南MALL·万江中心·都会广场,https://m.tujia.com/detail/82150531.htm,"优选民宿
 免费取消 
 超赞房东 
 房东实拍 
 免费瓶装水 
 干湿分离 
 近2年装修 
 有洗衣机",1居1床2-3人 · 整套35㎡ · 可园,¥190,¥104¥190
金悦名宿.翠湖enjoy近翔龙天地可做饭近公园近火车站5分钟上高速停车位多超级便宜温馨！,https://m.tujia.com/detail/48209137.htm,"5星卫生分 
 观景露台 
 健身房 
 有洗衣机 
 全天热水 
 付费停车位 
 管家服务 
 吹风机",1居1床2人 · 整套38㎡ ·,¥119,¥91¥119
商务大双床房（空调房）,https://m.tujia.com/detail/65676820.htm,"免费取消 
 超赞房东 
 阳光房 
 免费瓶装水 
 5星卫生分 
 有餐食 
 健身房 
 有洗衣机",1居2床4-6人 · 整套35㎡ · 松山湖度假区,¥200,¥86¥200
时尚前卫普通公寓 电视+支持团建会议 1卧1床2人/东莞人民公园/东莞市汽车客运总站,https://m.tujia.com/detail/79454902.htm,"免费取消 
 房东实拍 
 5星卫生分 
 团建会议 
 全天热水 
 付费停车位 
 有空调 
 超市/菜场",1居1床2人 · 整套50㎡ · 可园,¥94,¥69¥94
【多哩咪公寓玲珑小居】近蛤地C2口/国贸/UCC/广东科技学院/水濂山水库/植物园/蜂汇广场,https://m.tujia.com/detail/72113575.htm,"免费取消 
 可带宠物 
 免费瓶装水 
 近2年装修 
 近地铁 
 有洗衣机 
 全天热水 
 付费停车位",1居1床1人 · 整套30㎡ · 国贸中心/西平,¥140,¥77¥140
新装修/雅韵/适合2人入住·公园·1卧1床[岭南美术馆/世博广场/迎恩门城楼],https://m.tujia.com/detail/81729037.htm,"优选民宿
 免费取消 
 房东实拍 
 5星卫生分 
 近2年装修 
 有洗衣机 
 全天热水 
 有空调",1居1床2人 · 整套30㎡ · 可园,¥55,¥49¥55
近广嘉荣购物广场，爱达购物广场,https://m.tujia.com/detail/68374434.htm,"优选民宿
 免费取消 
 超赞房东 
 房东实拍 
 可带宠物 
 5星卫生分 
 全天热水 
 付费停车位",1居1床2人 · 整套26㎡ ·,¥110,¥71¥110
【爱民公寓】舒适单人房/【无空调】有风扇/Wifi/独立卫浴/近长富美食街/包月650,https://m.tujia.com/detail/79605676.htm,"免费取消 
 错峰优惠 
 房东实拍 
 可带宠物 
 免费瓶装水 
 5星卫生分 
 有洗衣机 
 全天热水",1居1床1人 · 整套10㎡ · 松山湖度假区,¥65,¥38¥65
浪漫情调＞空调+超市/一居室/东莞火车站/石龙站/金沙湾公园/可住2人,https://m.tujia.com/detail/81783598.htm,"优选民宿
 免费取消 
 房东实拍 
 免费瓶装水 
 5星卫生分 
 团建会议 
 有餐食 
 健身房",1居1床2-3人 · 整套33㎡ ·,¥158,¥94¥158
豪华大床空调电视房！独卫独立洗衣机,https://m.tujia.com/detail/82912393.htm,"优选民宿
 免费取消 
 房东实拍 
 可带宠物 
 近2年装修 
 有洗衣机 
 全天热水 
 免费停车",1居1床2-3人 · 整套25㎡ · 松山湖度假区,¥128,¥69¥128
【多哩咪公寓玲珑小室】近蛤地站C2/国贸/汇一城/UCC/水濂山植物园/可园/西平城轨/空调洗衣机,https://m.tujia.com/detail/72353527.htm,"免费取消 
 可带宠物 
 免费瓶装水 
 近2年装修 
 近地铁 
 有洗衣机 
 全天热水 
 智能门锁",1居1床1人 · 整套30㎡ · 国贸中心/西平,¥127,¥69¥127
近镇企石步行街和润生百货100米左右,https://m.tujia.com/detail/73216129.htm,"免费瓶装水 
 5星卫生分 
 近2年装修 
 团建会议 
 全天热水 
 付费停车位 
 管家服务 
 吹风机",1居1床2人 · 整套28㎡ ·,¥98,¥67¥98
空调大床房/房间有洗衣机/可短租/万润广场/大润发,https://m.tujia.com/detail/82548256.htm,"可带宠物 
 免费瓶装水 
 干湿分离 
 观景露台 
 有洗衣机 
 全天热水 
 可开发票 
 免费停车",1居1床2人 · 整套25㎡ · 篮球中心/城市学院,¥110,¥66¥110
青年精品公寓(东莞黄江嘉荣购物广场店),https://m.tujia.com/detail/53419054.htm,"民宿 
 免费洗衣服务 
 棋牌房 
 管家服务 
 茶室 
 洗衣房 
 免费携带宠物 
 无烟楼层",,¥88,¥81起¥88
独立卫浴 1卧适合2人入住/免费停车/洗衣/wifi/,https://m.tujia.com/detail/78607045.htm,"免费取消 
 5星卫生分 
 近2年装修 
 有洗衣机 
 全天热水 
 可开发票 
 免费停车 
 管家服务",1居1床2-3人 · 整套25㎡ ·,¥85,¥59¥85
东莞领寓国际公寓(南城蛤地店),https://m.tujia.com/detail/49504378.htm,"免费停车 
 充电桩 
 洗衣房 
 全屋暖气 
 宠物友好 
 免费洗衣服务 
 无烟楼层 
 可做饭",国贸中心/西平,¥104,¥88起¥104
芒果假日公寓北欧优享房（有冰箱洗衣机）,https://m.tujia.com/detail/24816191.htm,"酒店房源 
 免费客房WiFi 
 可携带宠物 
 管家服务 
 可做饭",1居1床2人 · 整套29㎡ · 国贸中心/西平,¥132,¥104¥132
简约时尚 空调大床房 一居室适合2人入住,https://m.tujia.com/detail/83221510.htm,"优选民宿
 免费取消 
 房东实拍 
 近2年装修 
 有洗衣机 
 全天热水 
 免费停车 
 吹风机",1居1床2人 · 整套25㎡ · 松山湖度假区,¥128,¥76¥128
月租房350元起，大岭山连平圩——鸿运公寓大床房，月租房水电另算。,https://m.tujia.com/detail/72799831.htm,"暑期热销 
 可带宠物 
 近2年装修 
 全天热水 
 智能门锁 
 超市/菜场 
 立即确认",1居1床2人 · 整套20㎡ · 松山湖度假区,¥40,¥32¥40
清溪镇育才路如家时尚公寓精致空调双床房,https://m.tujia.com/detail/53548822.htm,"免费取消 
 干湿分离 
 全天热水 
 免费停车 
 前台接待 
 吹风机 
 冷暖空调 
 行李寄存",1居2床4人 · 整套30㎡ ·,¥78,¥71¥78
御尚公馆(近东城万达东华医院)精装豪华大床房，带独立大阳台,https://m.tujia.com/detail/50881567.htm,"优选民宿
 房东实拍 
 团建会议 
 有洗衣机 
 全天热水 
 可开发票 
 付费停车位 
 充电桩",1居1床2-3人 · 整套30㎡ · 东城万达商圈,¥144,¥93¥144
【好运租宿】特价房(无空调),https://m.tujia.com/detail/53864032.htm,"全天热水 
 免费停车 
 充电桩 
 吹风机 
 智能门锁 
 行李寄存 
 超市/菜场 
 有冰箱",1居1床2-3人 · 整套35㎡ · 可园,¥44,¥34¥44
标准双床房,https://m.tujia.com/detail/77773882.htm,"5星卫生分 
 全天热水 
 管家服务 
 吹风机 
 行李寄存 
 超市/菜场 
 立即确认",1居2床3-4人 · 整套40㎡ · 篮球中心/城市学院,¥65,¥51¥65
公寓时尚大床房,https://m.tujia.com/detail/75623425.htm,"免费取消 
 5星卫生分 
 近2年装修 
 全天热水 
 智能门锁 
 冷暖空调 
 超市/菜场",1居1床2人 · 整套35㎡ ·,¥122,¥90¥122
【尚景公馆】高质轻奢空间/时尚/电梯/全新装修/德永佳/中堂轻轨站/华阳湖/麻涌/鸥涌/中堂/新塘,https://m.tujia.com/detail/48039013.htm,"免费取消 
 现代风 
 阳光房 
 免费瓶装水 
 5星卫生分 
 全天热水 
 免费停车 
 充电桩",1居1床2人 · 整套28㎡ ·,¥98,¥93¥98
【东兴公寓】特价房,https://m.tujia.com/detail/66023998.htm,"免费取消 
 全天热水 
 可开发票 
 付费停车位 
 管家服务 
 智能门锁 
 行李寄存 
 超市/菜场",1居1床1-2人 · 整套25㎡ · 华阳湖度假区,¥57,¥45¥57
青年精品公寓(东莞黄江嘉荣购物广场店),https://m.tujia.com/detail/72179308.htm,"民宿 
 免费洗衣服务 
 棋牌房 
 管家服务 
 茶室 
 洗衣房 
 免费携带宠物 
 无烟楼层",,¥88,¥81起¥88
雅致舒适双床房,https://m.tujia.com/detail/78181591.htm,"近2年装修 
 全天热水 
 管家服务 
 吹风机 
 智能门锁 
 行李寄存 
 超市/菜场 
 立即确认",1居2床3-4人 · 整套30㎡ · 篮球中心/城市学院,¥62,¥48¥62
【豪华装修普通公寓】1次性拖鞋+窗户/樟木头站/东莞樟木头振通汽车站/，天和超市，休闲广场2人居住,https://m.tujia.com/detail/74272324.htm,"免费取消 
 5星卫生分 
 全天热水 
 智能门锁 
 冷暖空调 
 超市/菜场",1居1床2人 · 整套18㎡ ·,¥80,¥58¥80
雅轩住宿(泉兴街店)/风扇房/无线网络/一居/松山湖汽车客运站/万润广场/月荷湖/可住2人,https://m.tujia.com/detail/81744019.htm,"免费取消 
 房东实拍 
 可带宠物 
 5星卫生分 
 观景露台 
 全天热水 
 免费停车 
 充电桩",1居1床2人 · 整套20㎡ · 篮球中心/城市学院,¥108,¥59¥108
诗曼公寓标准大床房,https://m.tujia.com/detail/52692856.htm,"民宿 
 套房 
 免费停车 
 免费客房WiFi",1居1床2人 · 整套25㎡ · 龙凤山庄,¥179,¥105¥179
房月租房很便宜/免费提供工作介绍/樟木头观音山旅游度假/樟木头樟洋社区/网红打卡吃喝玩乐一条街,https://m.tujia.com/detail/56412763.htm,"房东实拍 
 免费瓶装水 
 有洗衣机 
 全天热水 
 免费停车 
 充电桩 
 管家服务 
 行李寄存",1居1床2人 · 整套35㎡ ·,¥108,¥37¥108
幸福公寓虎门广场、电子城、黄河时装城、虎门公园、虎门高铁附近。,https://m.tujia.com/detail/80707423.htm,"房东实拍 
 可带宠物 
 全天热水 
 付费停车位 
 行李寄存 
 超市/菜场 
 立即确认",1床2人 · 单间15㎡ ·,¥75,¥37¥75
住在湖边的/演唱会/香港中文大学/北理莫斯科大学/黄阁坑地铁站/榆园地铁站/龙凤山庄影视度,https://m.tujia.com/detail/82570477.htm,"免费取消 
 湖景 
 山景 
 房东实拍 
 免费瓶装水 
 近2年装修 
 可做饭 
 有洗衣机",1床1人 · 单间15㎡ · 龙凤山庄,¥100,¥70¥100
普通大床房一室,https://m.tujia.com/detail/73393636.htm,"房东实拍 
 可带宠物 
 近2年装修 
 全天热水 
 管家服务 
 吹风机 
 行李寄存 
 超市/菜场",1居1床2人 · 整套25㎡ · 篮球中心/城市学院,¥42,¥32¥42
阳光普通公寓 独立卫浴+空调 一居2人/展览中心地铁站,https://m.tujia.com/detail/82175233.htm,"免费取消 
 可带宠物 
 5星卫生分 
 近2年装修 
 近地铁 
 全天热水 
 有空调 
 超市/菜场",1居1床2-3人 · 整套30㎡ · 国际展览中心,¥100,¥55¥100
双人房,https://m.tujia.com/detail/49152400.htm,"免费取消 
 5星卫生分 
 有投影 
 有微波炉 
 有洗衣机 
 有音箱 
 智能马桶 
 全天热水",1床2人 · 单间20㎡ · 国贸中心/西平,¥78,¥74¥78
爱民公寓】88%顾客选择/标准空调大床房/独立卫浴/WiFi/可住两人/近长富步行街,https://m.tujia.com/detail/81810868.htm,"免费取消 
 房东实拍 
 可带宠物 
 近2年装修 
 桌游 
 有洗衣机 
 桌游 
 全天热水",1居1床2人 · 整套20㎡ · 松山湖度假区,¥120,¥72¥120
＜精选温馨＞空调/近大岭山广场/全新装修/舒适阳光,https://m.tujia.com/detail/77640022.htm,"可带宠物 
 有微波炉 
 有洗衣机 
 全天热水 
 可开发票 
 免费停车 
 前台接待 
 吹风机",1居1床2人 · 整套20㎡ · 松山湖度假区,¥88,¥66¥88
常鑫公寓 空调房  被子日用品每客一换  干净整洁 舒适温馨 价格实惠经济  独立卫生间,https://m.tujia.com/detail/80203564.htm,"房东实拍 
 干湿分离 
 5星卫生分 
 近2年装修 
 有洗衣机 
 全天热水 
 免费停车 
 充电桩",1居1床2-3人 · 整套15㎡ · 隐贤山庄商圈,¥78,¥59¥78
金煌公寓住宿-特价风扇房（独立卫浴、wife、24小时热水，免费停车）,https://m.tujia.com/detail/71125891.htm,"房东实拍 
 干湿分离 
 全天热水 
 免费停车 
 前台接待 
 吹风机 
 行李寄存 
 超市/菜场",1居1床1人 · 整套20㎡ · 松山湖度假区,¥64,¥54¥64
雅轩住宿(泉兴街店)/明亮大床房/松湖智谷公园/佛灵湖旅游区/松湖智谷/松山湖汽车客运站,https://m.tujia.com/detail/79567579.htm,"免费取消 
 房东实拍 
 可带宠物 
 5星卫生分 
 有洗衣机 
 全天热水 
 免费停车 
 充电桩",1居1床2人 · 整套20㎡ · 篮球中心/城市学院,¥108,¥68¥108
【近里悦里/舒适普通风扇房95%顾客选择【无空调】大床房住2人‖独立卫浴‖干净卫生‖,https://m.tujia.com/detail/77351065.htm,"免费取消 
 可带宠物 
 5星卫生分 
 全天热水 
 行李寄存 
 超市/菜场 
 立即确认",1居1床2人 · 整套15㎡ · 松山湖度假区,¥73,¥45¥73
【温馨住宿】标准 大床房（无空调）,https://m.tujia.com/detail/81920383.htm,"免费取消 
 房东实拍 
 近2年装修 
 全天热水 
 智能门锁 
 超市/菜场",1居1床2人 · 整套25㎡ ·,¥46,¥41¥46
安心住/已消毒向往的生活/极速光纤WiFi/近商场夜总会公园公交站/,https://m.tujia.com/detail/52528192.htm,"房东实拍 
 海滩 
 5星卫生分 
 全天热水 
 可开发票 
 免费停车 
 接机接站 
 管家服务",1居1床2人 · 整套15㎡ ·,¥36,¥33¥36
近隐贤山庄/全新装修/精选时尚·一居/适合2人入住·沙发/牙具,https://m.tujia.com/detail/73389262.htm,"免费取消 
 可带宠物 
 海滩 
 5星卫生分 
 近2年装修 
 观景露台 
 全天热水 
 充电桩",1居1床2人 · 整套16㎡ ·,¥95,¥50¥95
港湾民宿,https://m.tujia.com/detail/81461710.htm,"民宿 
 新开业 
 宠物友好 
 棋牌房 
 管家服务 
 免费停车 
 露台 
 免费客房WiFi",,¥132,¥79起¥132
骏晖公寓（东莞长安万科店）,https://m.tujia.com/detail/78509260.htm,"民宿 
 新开业 
 露台 
 洗衣房 
 全屋暖气 
 免费客房WiFi",长安万达商圈,¥148,¥84起¥148
近黄江人民公园 嘉荣 全新装修 简洁 1人居住 独立卫浴,https://m.tujia.com/detail/77441098.htm,"优选民宿
 免费取消 
 可带宠物 
 免费瓶装水 
 5星卫生分 
 近2年装修 
 有洗衣机 
 全天热水",1居1床1人 · 整套35㎡ ·,¥88,¥79¥88
＜舒适温馨＞可洗热水澡+一次性毛巾/一居室//2人,https://m.tujia.com/detail/81090805.htm,"优选民宿
 免费取消 
 房东实拍 
 5星卫生分 
 近2年装修 
 观景露台 
 全天热水 
 免费停车",1居1床2人 · 整套40㎡ · 东城,¥158,¥94¥158
骏晖公寓轻奢-特恵大床房,https://m.tujia.com/detail/78509794.htm,"民宿 
 新开业 
 露台 
 洗衣房 
 全屋暖气 
 免费客房WiFi",1居1床2人 · 整套25㎡ · 长安万达商圈,¥148,¥84¥148
慕斯轻奢公寓轻奢大床房,https://m.tujia.com/detail/39542651.htm,"民宿 
 管家服务 
 干衣机 
 可携带宠物 
 免费停车 
 全屋暖气 
 免费客房WiFi",1居1床2人 · 整套35㎡ ·,¥132,¥104¥132
雅聚假日公寓(东莞星光天地店),https://m.tujia.com/detail/30882405.htm,"酒店房源 
 免费客房WiFi 
 免费停车 
 可做饭 
 欧式风格",,¥139,¥107起¥139
天天公寓（企石考场店）全新装修/经典时尚·一居室A206/可住2人,https://m.tujia.com/detail/81071131.htm,"免费取消 
 房东实拍 
 可带宠物 
 近2年装修 
 全天热水 
 免费停车 
 智能门锁 
 冷暖空调",1居1床2人 · 整套16㎡ ·,¥128,¥76¥128
锦绣公寓（同沙店）,https://m.tujia.com/detail/82399354.htm,"房东实拍 
 全天热水 
 免费停车 
 吹风机 
 有空调 
 行李寄存 
 超市/菜场 
 立即确认",1居1床2-3人 · 整套18㎡ ·,¥125,¥75¥125
时尚前卫普通公寓 牙具+灭火器 适合2人入住,https://m.tujia.com/detail/82701712.htm,"优选民宿
 免费取消 
 错峰优惠 
 房东实拍 
 可带宠物 
 5星卫生分 
 近2年装修 
 观景露台",1床2人 · 单间25㎡ · 松山湖度假区,¥128,¥88¥128
莞惠轻奢公寓(东莞东坑店),https://m.tujia.com/detail/74222971.htm,"新开业 
 投影仪 
 影音房 
 免费客房WiFi",,¥98,¥87起¥98
近石龙站/东莞火车站地铁站/东莞火车站/全新装修/活力阳光·一居室/适合2人入住·沙发/支持团建会议,https://m.tujia.com/detail/83183797.htm,"优选民宿
 免费取消 
 私家花园 
 可带宠物 
 免费瓶装水 
 桑拿 
 近2年装修 
 观景露台",1居1床2-3人 · 整套33㎡ ·,¥168,¥100¥168
520智能公寓,https://m.tujia.com/detail/79485109.htm,"民宿 
 新开业 
 免费停车 
 免费客房WiFi",松山湖度假区,¥84,¥74起¥84
精致普通公寓 门禁卡+低层无电梯 1卧2人居住/岭南美术馆/东莞人民公园,https://m.tujia.com/detail/79108396.htm,"免费取消 
 房东实拍 
 5星卫生分 
 团建会议 
 有洗衣机 
 全天热水 
 付费停车位 
 有空调",1居1床2人 · 整套50㎡ · 可园,¥105,¥78¥105
