姓名,性别,武功,简介
东方不败,男,100,日月神教教主，武功天下第一
任我行,男,95,日月神教前教主，吸星大法创始人
令狐冲,男,90,华山派大弟子，习得独孤九剑，武功盖世
令狐大哥,男,90,令狐冲的尊称
令狐兄,男,90,令狐冲的尊称
左冷禅,男,88,嵩山派掌门，五岳盟主
岳不群,男,85,华山派掌门，伪君子，练成辟邪剑法
向问天,男,85,日月神教左使，武功高强
岳先生,男,80,华山派掌门岳不群，号称'君子剑'
盈盈,女,75,任盈盈，日月神教圣姑，智计百出
余沧海,男,75,青城派掌门，擅长摧心掌，心狠手辣
田伯光,男,75,采花大盗'万里独行'，刀法快绝
田兄,男,75,田伯光的尊称
田某,男,75,田伯光自称
黄钟公,男,75,梅庄大庄主，琴技超群
任大小姐,女,75,任盈盈的尊称
黑白子,男,72,梅庄二庄主，痴迷围棋
林平之,男,70,林震南之子，为复仇自宫修炼辟邪剑法，剑法狠辣
师太,女,70,恒山派定字辈师太，武功高强，德高望重
林师弟,男,70,林平之在华山派的称呼
岳夫人,女,70,宁中则，岳不群之妻，人称'宁女侠'
师娘,女,70,宁中则的尊称
庄主,男,70,梅庄四友统称
丹青生,男,68,梅庄四友之一，嗜画如命
木高峰,男,65,塞北明驼，阴险狡诈
绿竹翁,男,65,隐居洛阳的高手，任盈盈属下
岳灵珊,女,60,岳不群之女，林平之之妻
祖千秋,男,60,黄河老祖之一，嗜酒如命
曲非烟,女,55,曲洋孙女，聪明伶俐，武功未成
蓝凤凰,女,55,五毒教主，擅长用毒
劳德诺,男,50,华山派二弟子，实为嵩山派卧底
陆大有,男,45,华山派六弟子，外号'六猴儿'，为人忠厚
师哥,男,40,华山派普通师兄，武功中等
仪清,女,40,恒山派弟子，仪琳师姐
仪琳,女,35,恒山派小尼姑，心地善良，武功平平
林震南,男,30,福威镖局总镖头，林平之之父，未得辟邪剑法真传，武功平平
王夫人,女,25,林震南之妻，武功低微，被青城派所害
杨莲亭,男,20,东方不败男宠，武功低微